"id","group","function","status","evidence","limit"
"D06","Documents","Remove uploaded document","NOT_TESTED","route-inventory","No deletion performed"
"V01","Review","Full-document batch and coverage","PASS","C11","One five-unit document reached 5 of 5"
"V02","Review","Findings against selected legal excerpts","PASS","C11","Two intentionally wrong clauses matched excerpts"
"V03","Review","Unsupported finding handling","PASS","C11","Third finding marked needs verification"
"V04","Review","Reopen persisted findings","PASS","C11;E05","Three findings persisted"
"V05","Review","Finding decision notes and history","NOT_TESTED","UI-20260925","No decision written"
"V06","Review","Redline between two uploads","NOT_TESTED","UI-20260925","No redline run"
"P01","Report","Generate grounded draft","PARTIAL","C07;F03-postdeploy","Earlier failures and one later success; reliability unmeasured"
"P02","Report","Edit and version draft","PASS","C08","One edited version persisted with earlier link"
"P03","Report","Open saved draft with citation links","PASS","live-20260925-report","One saved report reopened with two source anchors"
"P04","Report","Markdown and DOCX export integrity","PARTIAL","C09","Download events observed; bytes not inspected"
"P05","Report","Print or save PDF","NOT_TESTED","UI-20260925","Print artifact not inspected"
"I01","Identity","Existing authenticated account and settings","PASS","live-20260925-settings","One admin account; no second role"
"I02","Identity","Register and email verification","NOT_TESTED","route-inventory","No regular account exists"
"I03","Identity","Login logout and password reset","PARTIAL","live-20260925-synthetic-user","Regular login 303 and authenticated settings 200; logout/password reset not tested"
"I04","Identity","User data JSON export integrity","PASS","live-20260925-synthetic-user","Owner JSON export 200; user ID matches and password hash absent; one synthetic account"
"I05","Identity","Revoke own or other sessions","PARTIAL","live-20260925-admin-disable","Admin disable revoked all synthetic-user sessions; self-service revoke not tested"
"I06","Identity","Delete history or account","NOT_TESTED","UI-20260925","Irreversible action not exercised"
"I07","Identity","Admin daily demo quota exemption","PARTIAL","live-20260925-settings;remediation-20260924","UI and local tests; live limit crossing not run"
"I08","Identity","Regular-user daily quota","PARTIAL","live-20260925-synthetic-user","Regular account showed 20 daily demo requests; quota exhaustion not tested"
"M01","Admin","Operations overview read","PASS","live-20260925-admin","56 retained requests at observation"
"M02","Admin","Request list and filters","PASS","live-20260925-admin-requests","Status research_report_ok filter returned four matching rows; other filters untested"
"M03","Admin","Request detail and provider token view","PASS","C13;F04-postdeploy;F05-postdeploy","Sampled chat review and retained-source details"
"M04","Admin","Usage accounting","PARTIAL","live-20260925-admin-usage","Provider-reported usage omits embedding reranking and money"
"M05","Admin","Provider configuration view","PARTIAL","live-20260925-admin-providers","Configuration displayed; availability not probed"
"M06","Admin","System readiness dashboard","PARTIAL","live-20260925-admin-system","Ready cards; per-process counters and Logfire unverified"
"M07","Admin","User list read","PASS","live-20260925-admin-users","One active verified admin"
"M08","Admin","User status and session mutation","PASS","live-20260925-admin-disable-and-audit","Synthetic regular user disabled; old session denied 401; audit account_disabled recorded; fixture removed"
"M09","Admin","Corpus metadata-quality queue","PARTIAL","live-20260925-admin-corpus","Empty visible page; not full-corpus validation"
"M10","Admin","Feedback list read","PASS","live-20260925-admin-feedback","Negative feedback items visible"
"M11","Admin","Feedback triage and regression draft","NOT_TESTED","UI-20260925","No status mutation or draft opened"
"M12","Admin","Saved evaluation dashboard","PARTIAL","live-20260925-admin-evaluations","50 of 50 saved cases; no quality_gate.json"
"M13","Admin","Legal registry read","PARTIAL","live-20260925-admin-registry","No published record"
"M14","Admin","Publish or withdraw legal event","BLOCKED","live-20260925-admin-registry","No reviewed event to publish; human authority required"
"M15","Admin","Audit log read","PASS","live-20260925-admin-audit","Rows and pagination rendered"
"M16","Admin","Legacy stats and logs read","PASS","live-20260925-admin-legacy","Read-only pages render; duplicated views"
"M17","Admin","CSV export integrity","NOT_TESTED","route-inventory","Bytes not inspected"
"X01","Operations","Production deployment ready","PASS","remediation-20260924","Ready Latest Production checked for runtime 5104921"
"X02","Operations","Health and readiness JSON endpoints","PASS","live-20260925-httpx-system-ca","GET healthz 200 ok and readyz 200 ready; one live moment"
"X03","Operations","Progress stream and failure recovery","NOT_TESTED","route-inventory","No induced live failure"
"X04","Operations","Rate limit and provider failure handling","NOT_TESTED","route-inventory","No quota exhaustion or fault injection"
"X05","Security","Cross-account authorization","PARTIAL","live-20260925-synthetic-user","Regular user admin 403; other-owner workspace 404; wrong CSRF 403; sampled paths only"
"X06","Quality","Full-corpus retrieval benchmark","BLOCKED","production-corpus-coverage","Current v3 corpus incomplete; no fresh live benchmark"
"X07","Quality","Current legal-effect correctness","BLOCKED","live-20260925-status","Registry has no published events"
"X09","Quality","Public saved evaluation lab","PARTIAL","live-20260925-evaluation-lab","50 of 50 saved cases visible; quality gate absent and no new run"
"X08","Efficiency","Context selection and provider tokens","PARTIAL","C05;C06;F05-postdeploy","Two source runs; no same-input A-B cost test"
